Date,Open,High,Low,Close,Adj Close,Volume,Nombre
14/10/20,0.388,0.398,0.382,0.397,0.397,68009,Grupo_Famsa
15/10/20,0.397,0.409,0.391,0.396,0.396,103080,Grupo_Famsa
16/10/20,0.408,0.408,0.373,0.385,0.385,223383,Grupo_Famsa
19/10/20,0.373,0.385,0.373,0.385,0.385,122788,Grupo_Famsa
20/10/20,0.385,0.39,0.381,0.39,0.39,289435,Grupo_Famsa
21/10/20,0.398,0.408,0.391,0.402,0.402,72278,Grupo_Famsa
22/10/20,0.402,0.408,0.386,0.399,0.399,108360,Grupo_Famsa
23/10/20,0.387,0.407,0.387,0.406,0.406,45795,Grupo_Famsa
26/10/20,0.407,0.407,0.385,0.4,0.4,98395,Grupo_Famsa
27/10/20,0.392,0.4,0.384,0.4,0.4,83854,Grupo_Famsa
28/10/20,0.4,0.4,0.382,0.391,0.391,263441,Grupo_Famsa
29/10/20,0.391,0.405,0.38,0.397,0.397,38804,Grupo_Famsa
30/10/20,0.4,0.4,0.38,0.38,0.38,18370,Grupo_Famsa
03/11/20,0.387,0.394,0.38,0.38,0.38,293864,Grupo_Famsa
04/11/20,0.378,0.378,0.35,0.363,0.363,189300,Grupo_Famsa
05/11/20,0.352,0.377,0.352,0.375,0.375,27596,Grupo_Famsa
06/11/20,0.382,0.382,0.355,0.357,0.357,33262,Grupo_Famsa
09/11/20,0.358,0.37,0.358,0.369,0.369,597913,Grupo_Famsa
10/11/20,0.37,0.4,0.366,0.37,0.37,101979,Grupo_Famsa
11/11/20,0.37,0.379,0.36,0.369,0.369,48427,Grupo_Famsa
12/11/20,0.362,0.362,0.357,0.358,0.358,198664,Grupo_Famsa
13/11/20,0.36,0.368,0.359,0.359,0.359,38407,Grupo_Famsa
17/11/20,0.359,0.368,0.358,0.36,0.36,165583,Grupo_Famsa
18/11/20,0.364,0.368,0.355,0.355,0.355,86687,Grupo_Famsa
19/11/20,0.356,0.358,0.355,0.358,0.358,743449,Grupo_Famsa
20/11/20,0.356,0.356,0.35,0.353,0.353,385024,Grupo_Famsa
23/11/20,0.353,0.365,0.353,0.359,0.359,48437,Grupo_Famsa
24/11/20,0.354,0.36,0.354,0.359,0.359,11279,Grupo_Famsa
25/11/20,0.359,0.36,0.356,0.356,0.356,14385,Grupo_Famsa
26/11/20,0.356,0.359,0.356,0.358,0.358,22720,Grupo_Famsa
